datetime,open,high,low,close,volume
2026-01-01 09:00:00,100.0,100.6,99.49,100.0,742
2026-01-01 10:00:00,98.24,98.38,97.45,98.1,930
2026-01-01 11:00:00,95.82,96.61,95.16,95.9,186
2026-01-01 12:00:00,93.67,94.46,93.4,93.69,161
2026-01-01 13:00:00,91.86,92.58,91.08,91.84,323
2026-01-01 14:00:00,89.66,90.19,89.45,89.65,486
2026-01-01 15:00:00,87.84,88.31,87.37,88.02,246
2026-01-01 16:00:00,86.48,86.78,85.78,86.47,567
2026-01-01 17:00:00,84.03,84.58,83.55,83.83,587
2026-01-01 18:00:00,81.55,82.31,81.33,81.78,955
2026-01-01 19:00:00,80.3,80.48,79.48,80.17,771
2026-01-01 20:00:00,78.14,78.86,77.92,78.12,325
2026-01-01 21:00:00,78.06,78.74,77.57,78.15,807
2026-01-01 22:00:00,78.19,78.43,77.22,77.89,825
2026-01-01 23:00:00,78.23,78.54,77.61,78.12,711
2026-01-02 00:00:00,78.12,78.75,77.66,78.3,708
2026-01-02 01:00:00,77.8,78.13,77.45,77.79,379
2026-01-02 02:00:00,78.1,78.23,77.69,78.01,745
2026-01-02 03:00:00,77.62,78.38,77.23,77.65,221
2026-01-02 04:00:00,77.9,78.28,77.49,77.8,666
2026-01-02 05:00:00,77.65,78.19,77.26,77.66,928
2026-01-02 06:00:00,78.17,78.46,77.3,78.07,974
2026-01-02 07:00:00,78.02,78.46,77.26,77.81,368
2026-01-02 08:00:00,78.09,78.41,77.79,78.19,399
2026-01-02 09:00:00,80.68,81.07,80.28,80.65,657
2026-01-02 10:00:00,82.86,83.15,82.16,82.93,458
2026-01-02 11:00:00,84.53,84.79,84.05,84.51,757
2026-01-02 12:00:00,87.43,88.38,86.82,87.6,282
2026-01-02 13:00:00,90.09,90.77,89.67,90.18,252
2026-01-02 14:00:00,92.6,93.09,92.12,92.63,145
2026-01-02 15:00:00,94.59,94.97,93.72,94.46,522
2026-01-02 16:00:00,97.4,97.95,96.58,97.23,291
2026-01-02 17:00:00,99.25,99.86,98.9,99.45,369
2026-01-02 18:00:00,101.79,102.46,101.45,101.91,923
2026-01-02 19:00:00,105.06,105.57,104.24,104.96,832
2026-01-02 20:00:00,106.41,107.12,106.26,106.71,856
